"CourseNum","CourseTitle","Book Title"
"ACCT 3603.001"," Income Tax Accounting I"," Business Entities - An Introduction"
"BAD 4013.002"," Business Capstone"," Strategic Management"
"MGT 4123.900"," Industrial Relations"," Labor Relations & Collective Bargaining"
"MGT 4123.900"," Industrial Relations"," Subcontract Management Handbook"
"MGT 4123.900"," Industrial Relations"," Inside Outsourcing"
"MGT 4710.002"," Problems in Administration"," Problems in Administration"
"MIS 3033.900"," C++ Programming, Introductory"," C++ How to Program"
"MIS 3033.901"," Java Programming, Intermediate"," Beginning Java 2"
"MIS 3353.001"," Database Development"," Modern Database Management"
"MIS 3373.004"," Systems Analysis & Design"," Essentials of Systems Analysis and Design"
"MKT 4333.001"," Marketing Capstone"," Marketing Strategy - A Primer"
