"ISBN","Title","Average Cost Of The Book"
"1-861003-66-8"," Beginning Java 2",65.66666666666667
"0-324-11053-7"," Business Entities - An Introduction",43.5
"0-13-528910-6"," C++ How to Program",62
"1-556-02347-4"," Essentials of Systems Analysis and Design",62.5
"1-85788-204-0"," Inside Outsourcing",20.5
"0-13-019474-2"," Labor Relations & Collective Bargaining",50
"1-3294-1234-7"," Marketing Strategy - A Primer",34
"0-556-7987-4"," Modern Database Management",34
"0-234-27347-5"," Problems in Administration",48.75
"1-5579-8888-0"," Strategic Management",27.5
"0-8144-5639-1"," Subcontract Management Handbook",70
